Tour,Id_phrase,phrase,lemmes,accord
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s17,"Actuellement , les travaux occasionnent une gêne importante pour les utilisateurs du bâtiment D et l' entreprise fait tout son possible pour que le bruit cesse rapidement .","actuellement , le travaux occasionner un gêne important pour le utilisateur de+le bâtiment D et le entreprise faire tout son possible pour que le bruit cesser rapidement .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s18,Les 8000 m2 :,le 8000 m2 :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s19,Les architectes et l' emplacement sont choisis .,le architecte et le emplacement être choisir .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s20,Le bâtiment devrait être achevé pour la rentrée 1993 .,le bâtiment devoir être achever pour le rentrée 1993 .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s21,"Il devrait être construit dans l' espace situé entre le restaurant universitaire et le COSOM , près de la sortie de la future gare du RER , sauf si les problèmes de déplacement de conduites de gaz sont insolubles .","lui devoir être construire dans le espace situer entre le restaurant universitaire et le COSOM , près de le sortie de le futur gare de+le RER , sauf si le problème de déplacement de conduite de gaz être insoluble .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s22,Ce Bâtiment devrait recevoir les services d' accueil des étudiants .,ce bâtiment devoir recevoir le service de accueil de+le étudiant .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s23,Un amphithéâtre servant également de salle de spectacles est prévu mais le Ministère n' y est guère favorable actuellement .,un amphithéâtre servir également de salle de spectacle être prévoir mais le ministère ne y être guère favorable actuellement .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s24,Un argumentaire est en cours de rédaction .,un argumentaire être en cours de rédaction .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s25,"Il va falloir établir , en concertation , un plan d' utilisation des surfaces restantes .","lui aller falloir établir , en concertation , un plan de utilisation de+le surface restant .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s26,Bâtiment Transloko :,bâtiment Transloko :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s27,Le Bâtiment sera prêt pour octobre 1991 .,le bâtiment être prêt pour octobre 1991 .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s28,Cela permettra de desserrer les UFR SSA et SPSE et de rendre à leurs utilisateurs un certains nombre de salles indûment occupées en 1990-91 .,cela permettre de desserrer le UFR SSA et SPSE et de rendre à son utilisateur un certain nombre de salle indûment occuper en 1990-91 .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s29,Commission de Sécurité :,commission de sécurité :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s30,"Elle nous enjoint de rendre les déambulatoires au rez -de- chaussée du bâtiment B , occupés actuellement par les services techniques , le théâtre et la cafétéria , à leur destination première , de dégagement pour les amphithéâtres B1 et B2 .","lui nous enjoindre de rendre le déambulatoire à+le rez -de- chaussée de+le bâtiment B , occuper actuellement par le service technique , le théâtre et le cafétéria , à son destination premier , de dégagement pour le amphithéâtre B1 et B2 .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s31,Nous allons commencer par enlever 1 travée de tables à la cafétéria et envisager le déménagement du théâtre .,nous aller commencer par enlever 1 travée de table à le cafétéria et envisager le déménagement de+le théâtre .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s32,C' est un argument supplémentaire pour que l' amphithéâtre pouvant servir aux arts du spectacle soit construit dans les 8000 m2 .,ce être un argument supplémentaire pour que le amphithéâtre pouvoir servir à+le art de+le spectacle être construire dans le 8000 m2 .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s33,"La commission de sécurité souhaiterait également que les 3èmes et 4èmes étages des bâtiments A.C.D.E soient occupés par des bureaux d' enseignants plutôt que des salles de cours , en raison du nombre insuffisant de cages d' escalier .","le commission de sécurité souhaiter également que le 3ème et 4ème étage de+le bâtiment A.C.D.E être occuper par un bureau de enseignant plutôt que un salle de cours , en raison de+le nombre insuffisant de cage de escalier .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s34,"Il faudrait réussir , avec le desserrement résultant des nouvelles constructions , à augmenter le nombre de bureaux d' enseignants , de bureaux de chercheurs et de salles de recherche , ce qui aurait des conséquences positives pour l' amélioration du suivi des étudiants et de la recherche .","il_expl falloir réussir , avec le desserrement résulter de+le nouveau construction , à augmenter le nombre de bureau de enseignant , de bureau de chercheur et de salle de recherche , ce qui avoir un conséquence positif pour le amélioration de+le suivi de+le étudiant et de le recherche .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s35,La Commission Sociale d' Etablissement :,le commission social de etablissement :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s36,"Une commission sociale d' établissement va être mise en place à l' Université de Paris X - Nanterre , conformément à la circulaire du ministère de l' Education Nationale en date du 17 juillet 1991 .","un commission social de établissement aller être mettre en place à le université de Paris X - Nanterre , conformément à le circulaire de+le ministère de le Education national en date de+le 17 juillet 1991 .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s37,Elle sera composée de dix- neuf membres ;,lui être composer de dix- neuf membre ;,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s38,Le Président de l' Université qui en sera le Président,le président de le université qui en être le président,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s39,Le directeur du Crous qui en sera le Vice-Président,le directeur de+le Crous qui en être le vice-président,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s40,Le représentant du recteur chancelier,le représentant de+le recteur chancelier,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s41,Deux enseignants de l' université désignés par le Président,deux enseignant de le université désigner par le président,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s42,Trois représentants des collectivités territoriales désignés par le Recteur en concertation avec le Président de l' Université :,trois représentant de+le collectivité territorial désigner par le recteur en concertation avec le président de le université :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s43,un représentant de la mairie de Nanterre,un représentant de le mairie de Nanterre,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s44,un représentant du Conseil général,un représentant de+le conseil général,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s45,un représentant du Conseil Régional,un représentant de+le conseil Régional,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s46,Deux personnalités représentant les milieux économiques et sociaux désignées par le Président de l' Université .,deux personnalité représenter le milieu économique et social désigner par le président de le université .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s47,"Six représentants des étudiants élus au C.A , au C.E.V.U ou au C.A du CROUS issus d' associations jugées représentatives , au sens de l' article 13 de la loi du 10 juillet 1989 d' Orientation sur l' Education , c'est-à-dire des associations siègant au Conseil National de l' Enseignement Supérieur et de la Recherche ou au CNOUS .","six représentant de+le étudiant élire à+le C.A , à+le C.E.V.U ou à+le C.A de+le CROUS issu de association juger représentatif , à+le sens de le article 13 de le loi du 10 juillet 1989 de orientation sur le Education , c'est-à-dire un association siéger à+le conseil national de le enseignement supérieur et de le recherche ou à+le CNOUS .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s48,( Le Président a réuni les élus de ces associations au Conseil d' Administration et au Conseil des Etudes et de la Vie Universitaire .,( le président avoir réunir le élu de ce association à+le conseil de administration et à+le conseil de+le Etudes et de le vie universitaire .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s49,"Après concertation , siègeront : trois élus UNEF -ID , deux élus AGEN-UNEF et un élu UNI )","après concertation , siéger : trois élu UNEF -ID , deux élu AGEN-UNEF et un élu UNI )",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s50,deux représentants des mutuelles étudiantes désignés par le Président de l' Université ( MNEF et SMEREP ) .,deux représentant de+le mutuelle étudiant désigner par le président de le université ( MNEF et SMEREP ) .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s51,Le directeur départemental des services fiscaux ou son représentant .,le directeur départemental de+le service fiscal ou son représentant .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s52,"En ce qui concerne les enseignants , le Président se propose de désigner un membre du Conseil d' Administration et un membre du Conseil des Etudes et de la Vie Universitaire .","en ce qui concerner le enseignant , le président se_expl proposer de désigner un membre de+le conseil de administration et un membre de+le conseil de+le Etudes et de le vie universitaire .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s53,U va procéder à un certain nombre de consultations avant d' arrêter sa décision .,U aller procéder à un certain nombre de consultation avant de arrêter son décision .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s54,"Les textes ne prévoient par la désignation de personnels IATOS à la commission sociale d' Etablissement mais il est évident qu' un certain nombre d' entre eux siègeront en qualité d' experts ( Secrétaire Général , Scolarité , Inscriptions , Bourses ) ainsi que le Vice-Président chargé du Conseil des Etudes et de la Vie Universitaire et le chargé de mission qui suit les dossiers de bourses .","le texte ne prévoir par le désignation de personnel IATOS à le commission social de etablissement mais il_expl être évident que un certain nombre de entre eux siéger en qualité de expert ( secrétaire général , scolarité , inscription , bourse ) ainsi que le vice-président charger de+le conseil de+le Etudes et de le vie universitaire et le chargé de mission qui suivre le dossier de bourse .",A
2,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s55,Le Président rappelle que le premier rôle de cette commission sera d' étudier les dossiers de demandes de prêts .,le président rappeler que le premier rôle de ce commission être de étudier le dossier de demande de prêt .,A
2,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s56,Elle devra ensuite faire un certain nombre de propositions concrètes d' ordre social en faveur des étudiants au Conseil d' Administration .,lui devoir ensuite faire un certain nombre de proposition concret de ordre social en faveur de+le étudiant à+le conseil de administration .,A
3,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s57,Le Président demande aux membres du Conseil s' il souhaitent aborder d' autre points d' information :,le président demander à+le membre de+le conseil si lui souhaiter aborder un autre point de information :,A
4,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s58,Marc HIVER demande au Président de préciser les raisons de la démission de M. Soulas à l' antenne de Cergy,Marc hiver demander à+le président de préciser le raison de le démission de Monsieur Soulas à le antenne de Cergy,A
5,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s59,Le Président indique que M. Soulas ne se sent pas en mesure de continuer à accomplir sa mission .,le président indiquer que Monsieur Soulas ne se_expl sentir pas en mesure de continuer à accomplir son mission .,A
5,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s60,Il réintègre donc l' Université de Paris X où se trouve son poste d' enseignant .,lui réintégrer donc le université de Paris X où se_expl trouver son poste de enseignant .,A
5,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s61,Les décrets créant les universités de Cergy et de Saint-Quentin Versailles sont parus fin juillet ;,le décret créer le université de Cergy et de Saint-quentin Versailles être paraître fin juillet ;,A
5,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s62,"jusqu' au 1er janvier 1992 , nous continuerons à les gérer en partie .","jusque à+le 1er janvier 1992 , nous continuer à eux gérer en partie .",A
5,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s63,"Ensuite , elle assureront complètement leur propre gestion ce qui allégera considérablement la tâche des services financiers , comptables et des personnels .","ensuite , lui assurer complètement son propre gestion ce qui alléger considérablement le tâche de+le service financier , comptable et un personnel .",A
6,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s65,Le Président indique que l' IUT de Cergy a demandé son rattachement à la nouvelle université de Cergy mais qu' il n' a pas encore reçu le procès-verbal du Conseil de l' IUT .,le président indiquer que le IUT de Cergy avoir demander son rattachement à le nouveau université de Cergy mais que lui ne avoir pas encore recevoir le procès-verbal de+le conseil de le IUT .,A
7,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s66,Pierre PIEJUS pense que la vocation naturelle de cet IUT est d' être partie prenante de cette nouvelle Université et qu' il a intérêt à le faire au moment de la mise en place des institutions .,Pierre PIEJUS penser que le vocation naturel de ce IUT être de être partie prenant de ce nouveau université et que lui avoir intérêt à lui faire à+le moment de le mise en place de+le institution .,A
8,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s68,M. HIVER demande l' autorisation de lire un texte du SGEN sur ce qui se passe à l' IUT de Vélizy .,Monsieur hiver demander le autorisation de lire un texte de+le SGEN sur ce qui se_expl passer à le IUT de Vélizy .,A
8,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s69,"En ce 23 septembre 1991 , cent étudiants entrent en première année de DUT à Vélizy .","en ce 23 septembre 1991 , cent étudiant entrer en premier année de DUT à Vélizy .",A
9,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s70,Le SGEN tient à informer le Conseil d' Administration de l' Université des scandales qui accompagnent 1' opération .,le SGEN tenir à informer le conseil de administration de le université de+le scandale qui accompagner se opération .,A
9,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s71,L' arrêté créant les départements d' IUT n' a pas été pris .,le arrêté créer le département de IUT ne avoir pas être prendre .,A
9,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s72,Les avis des instances compétentes n' ont pas été demandés .,le avis de+le instance compétent ne avoir pas être demander .,A
9,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s73,Les départements ne sont rattachés à aucun IUT existant .,le département ne être rattacher à aucun IUT existant .,A
9,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s74,"Le même DUT est préparé à Vélizy et à Ville d' Avray , deux villes voisines .","le même DUT être préparer à Vélizy et à Ville de Avray , deux ville voisin .",A
9,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s75,Les autorités légales de l' IUT de Ville d' Avray ont été bafouées .,le autorité légal de le IUT de ville de Avray avoir être bafouer .,A
10,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s77,Il affirme son attachement aux procédures réglementaires qui seules garantissent la qualité des formations .,lui affirmer son attachement à+le procédure réglementaire qui seul garantir le qualité de+le formation .,A
10,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s78,"Il rappelle que , si le rapprochement entre les Universités d' une part , les collectivités locales et les entreprises de l' autre , est souhaitable , les Universités et les IUT doivent rester les maîtres d' oeuvre des projets et ne pas se laisser déposséder de leurs prérogatives par les bailleurs de fonds et que l' Etat ne saurait oublier les responsabilités qui lui incombent .","lui rappeler que , si le rapprochement entre le université de un part , le collectivité local et le entreprise de le autre , être souhaitable , le Universités et le IUT devoir rester le maître de oeuvre un projet et ne pas se_expl laisser déposséder de son prérogative par le bailleur de fonds et que le état ne savoir oublier le responsabilité qui lui incomber .",A
11,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s79,"Le SGEN considère que les intérêts des étudiants doivent prévaloir sur celui des notables , et notamment du député de Vélizy , et que les I.U.T ne sauraient être distribués comme l' étaient les bureaux de tabac sous la IIIème République .","le SGEN considérer que le intérêt de+le étudiant devoir prévaloir sur celui de+le notable , et notamment de+le député de Vélizy , et que le I.U.T ne savoir être distribuer comme lui être le bureau de tabac sous le quindre république .",A
12,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s80,"L' affaire de Vélizy s' ajoutant à celle de Cergy , le SGEN demande la démission du Recteur de l' Académie de Versailles et du chargé de mission pour la nouvelle université de Saint- Quentin-Versailles , qui ont non seulement couvert , mais encore favorisé une opération menée en dehors de la légalité républicaine .","le affaire de Vélizy se_expl ajouter à celui de Cergy , le SGEN demander le démission de+le recteur de le académie de Versailles et de+le chargé de mission pour le nouveau université de Saint- Quentin-Versailles , qui avoir non seulement couvrir , mais encore favoriser un opération mener en dehors de le légalité républicain .",A
12,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s81,"Il propose ensuite une "" version courte "" à l' approbation des membres du Conseil d' Administration .","lui proposer ensuite un "" version court "" à le approbation de+le membre de+le conseil de administration .",A
12,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s82,"Après discussion et diverses modifications , la motion suivante est adoptée à l' unanimité des membres présents et représentés .","après discussion et divers modification , le motion suivant être adopter à le unanimité de+le membre présent et représenter .",A
12,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s83,""" L' urgence de réaliser de nouvelles capacités d' accueil et l' intérêt du partenariat avec les milieux professionnels et les collectivités territoriales ne devraient pas conduire au non-respect , par les autorités de tutelle , des textes régissant les I.U.T "" .",""" le urgence de réaliser un nouveau capacité de accueil et le intérêt de+le partenariat avec le milieu professionnel et le collectivité territorial ne devoir pas conduire à+le non-respect , par le autorité de tutelle , un texte régir le I.U.T "" .",A
13,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s86,M. MERCERON considère qu' il y a eu une diminution importante des capacités d' accueil en première année entre juillet 1990 et juillet 1991 .,Monsieur MERCERON considérer que il_expl y avoir avoir un diminution important de+le capacité de accueil en premier année entre juillet 1990 et juillet 1991 .,A
13,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s87,Il regrette de ne pouvoir avoir accès aux listings informatiques .,lui regretter de ne pouvoir avoir accès à+le listing informatique .,A
13,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s88,M Deneux et les services administratifs de l' Université ont refusé de lui remettre les documents qui lui auraient permis d' étayer ses comparaisons .,M Deneux et le service administratif de le université avoir refuser de lui remettre le document qui lui avoir permettre de étayer son comparaison .,A
13,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s89,Il donne lecture d' une motion qu' il demande de soumettre au vote des membres du Conseil d' Administration :,lui donner lecture de un motion que lui demander de soumettre à+le vote de+le membre de+le conseil de administration :,A
13,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s90,""" Les élus du C.A , réunis en séance plénière , le 23 septembre , demandent que leur soient communiqués les listings statistiques concernant l' état des étudiants inscrits à l' Université de Paris X le dernier jour des inscriptions de juillet 1990 et 1991 , le dernier jour des inscriptions de septembre 1990 et 1991 . """,""" le élu de+le C.A , réunir en séance plénier , le 23 septembre , demander que eux être communiquer le listing statistique concernant le état de+le étudiant inscrire à le université de Paris X le dernier jour un inscription de juillet 1990 et 1991 , le dernier jour un inscription de septembre 1990 et 1991 . """,A
13,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s91,"En effet , si l' Université n' a pas pu , pour des raisons techniques dépendant du Rectorat , inscrire un nombre important d' étudiants en juillet , ils ont dû être inscrits en septembre .","en effet , si le université ne avoir pas pouvoir , pour un raison technique dépendre de+le rectorat , inscrire un nombre important de étudiant en juillet , eux avoir devoir être inscrire en septembre .",A
14,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s92,"M. MERCERON souhaiterait en avoir la confirmation pour mettre fin à différentes rumeurs et vérifier si les capacités d' accueil ont réellement diminué , sinon il sera incapable de juger en toute connaissance de cause du bon déroulement des inscriptions .","Monsieur MERCERON souhaiter en avoir le confirmation pour mettre fin à différent rumeur et vérifier si le capacité de accueil avoir réellement diminuer , sinon lui être incapable de juger en tout connaissance de cause de+le bon déroulement un inscription .",A
15,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s93,"M. DENEUX rappelle que les capacités d' accueil sont arrêtées , selon les textes en vigueur , par le Président de l' Université , sur propositions des directeurs d' UFR .","Monsieur DENEUX rappeler que le capacité de accueil être arrêter , selon le texte en vigueur , par le président de le université , sur proposition de+le directeur de UFR .",A
15,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s94,Les capacités d' accueil n' ont pas changé entre 1990 et 1991 .,le capacité de accueil ne avoir pas changer entre 1990 et 1991 .,A
15,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s95,"Nous les avons dépassées en droit , nous ne les avons pas atteintes en Economie en raison du système de recrutement en Economie / Langues où beaucoup d' étudiants ne confirment pas leur inscription .","nous eux avoir dépasser en droit , nous ne eux avoir pas atteindre en économie en raison de+le système de recrutement en économie / Langues où beaucoup de étudiant ne confirmer pas son inscription .",A
15,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s96,Des affectations rectorales complèteront les effectifs .,un affectation rectoral compléter le effectif .,A
15,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s97,"En Langues ( sauf LEA ) , et en LLphi , nous n' avons procédé à aucune exclusive , mais les demandes d' inscription diminuent chaque année .","en langue ( sauf Lea ) , et en LLphi , nous ne avoir procéder à aucun exclusive , mais le demande de inscription diminuer chaque année .",A
15,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s98,"D' autre part , les capacités d' accueil déclarées dans ces disciplines ne correspondent pas aux possibilités réelles d' accueil .","de autre part , le capacité de accueil déclarer dans ce discipline ne correspondre pas à+le possibilité réel de accueil .",A
15,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s99,U faudrait les réviser à la baisse .,U falloir eux réviser à le baisse .,A
16,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s100,"En ce qui concerne les listings informatiques , ce sont des éléments de gestion administrative interne , non diffusés à l' extérieur .","en ce qui concerner le listing informatique , ce être un élément de gestion administratif interne , non diffuser à le extérieur .",A
16,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s101,Il serait imprudent et même dangereux de communiquer des chiffres qui mêlent des flux de nature extrêmement différente .,lui être imprudent et même dangereux de communiquer un chiffre qui mêler un flux de nature extrêmement différent .,A
16,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s102,"Le conseil peut voter une motion de défiance , mais M. DENEUX se refuse à communiquer de façon systématique des documents qui doivent être maniés avec précaution .","le conseil pouvoir voter un motion de défiance , mais Monsieur DENEUX se_expl refuser à communiquer de façon systématique de+le document qui devoir être manier avec précaution .",A
16,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s103,Les capacités d' accueil n' ont pas diminué et le nombre d' inscrits définitifs sera communiqué à l' ensemble de la communauté universitaire dès qu' il sera clairement connu .,le capacité de accueil ne avoir pas diminuer et le nombre de inscrit définitif être communiquer à le ensemble de le communauté universitaire dès que lui être clairement connaître .,A
17,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s104,M. ROSSETTI s' inquiète de la chute des effectifs en lettres classiques .,Monsieur ROSSETTI se_expl inquiéter de le chute de+le effectif en lettre classique .,A
17,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s105,"En ce qui concerne l' accès aux listings informatiques sur l' état des inscriptions , il souhaiterait l' impression de documents consultables par tous les membres du Conseil d' Administration en vue d' une discussion et d' une modification des procédures pour les années ultérieures .","en ce qui concerner le accès à+le listing informatique sur le état de+le inscription , lui souhaiter le impression de document consultable par tout le membre de+le conseil de administration en vue de un discussion et de un modification de+le procédure pour le année ultérieur .",A
18,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s106,"LE PRESIDENT rappelle que la sectorisation est établie par le Rectorat et que la procédure d' affectation des étudiants a été communiquée tardivement aux Universités , ce qui explique le retard de cette année .","le PRESIDENT rappeler que le sectorisation être établir par le rectorat et que le procédure de affectation de+le étudiant avoir être communiquer tardivement à+le université , ce qui expliquer le retard de ce année .",A
18,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s107,"Il propose de communiquer aux membres du C.A , dès que cela sera possible , tous les éléments de comparaison entre 1990 et 1991 sur le nombre d' inscrits et la définition des secteurs .","lui proposer de communiquer à+le membre de+le C.A , dès que cela être possible , tout le élément de comparaison entre 1990 et 1991 sur le nombre de inscrit et le définition de+le secteur .",A
18,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s108,Une réflexion d' ensemble sera alors possible .,un réflexion de ensemble être alors possible .,A
18,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s109,Le Ministère est intéressé par le problème des capacités d' accueil .,le ministère être intéresser par le problème de+le capacité de accueil .,A
18,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s110,Des experts vont rencontrer les directeurs d' UFR pour examiner ce dossier .,un expert aller rencontrer le directeur de UFR pour examiner ce dossier .,A
19,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s111,"M. MERCERON regrette que les membres du C. A ne puissent pas avoir accès à certains documents , et précise que le Rectorat de Créteil se permet d' écrire à des étudiants candidats à l' inscription en psychologie à Paris X , de choisir une autre discipline alors qu' il nous reste des places .","Monsieur MERCERON regretter que le membre de+le C. A ne pouvoir pas avoir accès à certain document , et préciser que le rectorat de Créteil se_expl permettre de écrire à un étudiant candidat à le inscription en psychologie à Paris X , de choisir un autre discipline alors que lui nous rester un place .",A
20,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s112,LE PRESIDENT précise que le Rectorat de Créteil disposait de toutes les informations nécessaires et que nous ne sommes pas responsables de ses agissements .,le PRESIDENT préciser que le rectorat de Créteil disposer de tout le information nécessaire et que nous ne être pas responsable de son agissement .,A
