Tour,Id_phrase,phrase
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s55,"M. GARNIER s' était porté candidat à la direction adjointe des stages de l' E.N.A . , il est susceptible d' être nommé rapidement , mais l' arrêté de nomination n' a pas encore été pris par le ministère de la fonction publique ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s56,"Si ce départ est confirmé , il aura à proposer au Ministre la nomination d' un nouveau secrétaire général ( application de l' article 59 de la loi du 26 janvier 1984 ) ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s57,"En ce qui concerne la réforme du 1 er cycle , les groupes d' experts techniques se sont réunis pour étudier les différents projets qui avaient été fournis par les U.E.R ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s58,"Ces projets ont été examinés de manière peu satisfaisante dans la mesure où ils ont été vus par discipline , ou groupe de disciplines , mais non en fonction d' une architecture d' ensemble d' un projet présenté par l' Université ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s59,Le résultat c' est que le dossier s' est trouvé dissocié et les experts n' ont eu à se prononcer que sur des parties du projet .
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s60,"D' autre part il semblerait que les critères retenus ne soient pas très bien définis et ceux , concernant la pluridisciplinarité , la mise en place des processus d' orientation n' ont joué qu' un rôle secondaire par rapport à d' autres plus difficiles à cerner , d' où quelques incohérences ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s61,"Le projet de Sciences Humaines et Communication semble être le seul retenu par le Ministère , mais les choses ne sont pas encore terminées et des négociations doivent avoir lieu avec le Ministère , il faut obtenir que le projet de l' Université soit examiné dans son ensemble et que le projet le plus proche des S.H.C. , c'est-à-dire "" Sciences Sociales et Administration "" , soit lui aussi retenu ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s62,"M. IMBERTY ainsi que plusieurs de ses collègues ont eu le sentiment que le travail des experts était non seulement peu satisfaisant , mais que certaines décisions semblaient avoir été prises avant l' examen des dossiers ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s63,"C' est difficile à démontrer mais quand on suit le travail des différents groupes , et des conversations avec les uns et les autres , on se rend compte que les décisions ont été prises en fonction des moyens disponibles , qui sont limités ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s64,"Il ne lui est pas possible de dire ce que sera le résultat final des négociations avec le Ministère , mais , compte tenu du travail fait dans l' Université pour la réforme , la situation actuelle est assez décevante ."
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s65,M. Le Président IMBERTY proposera aux membres du Conseil un texte qui pourra lui servir d' appui dans les négociations qu' il entend mener dans les jours qui suivent .
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s66,Ce texte sera étudié en fin de séance car le débat budgétaire doit être abordé rapidement .
15,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s68,"M. GRESLE , Président de la Commission Budgétaire , n' a pas pu assister à l' ensemble des travaux de la commission et c' est Monsieur le Président qui en est le rapporteur ."
16,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s72,M .
16,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s73,"Le Président ne pense pas qu' il soit nécessaire de commenter ce document dans le détail , sauf s' il y a des questions ."
16,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s74,"Cette étude a été établie sur l' estimation des recettes et des dépenses , sur la base des engagements de 1983 corrigée du taux d' inflation prévisibe ."
16,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s75,-
16,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s76,"Le document 5 bis est le résultat du travail de la commission , il ramène l' impasse à 1,900 M.F"
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s77,M. IMBERTY rappele comment ces deux budgets se situent l' un par rapport d l' autre et dans quel contexte .
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s78,"En juin 1983 l' Université a signé avec le Ministère un contrat lui permettant d' obtenir des sommes complémentaires pour 1983 , mais sous réserve de présenter ensuite un budget en équilibre ."
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s79,"Ce contrat fait obligation à l' Université de ramener sur le budget de l' état , chaque fois que cela est possible , les salaires des personnels payés sur le budget de l' Université ( intégration des hors-statuts ) ."
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s80,Cette résorption devrait s' achever dans les cinq ans .
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s81,"En contre partie de cet effort , le ministère prend à sa charge des dépenses qui se sont élevées l' an dernier à 730.000 F ( 400.000 F de surcôut du gardiennage , plus 330.000 F de travaux sur les chaudières ) ."
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s82,"Le principe du contrat est tel que , si l' université effectue bien l' opération d' intégration des hors statuts , elle peut escompter , en échange pour 1984 , la prise en charge par le ministère de certaines dépenses tel que le gardiennage ."
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s83,Le contrat implique aussi que l' Université s' engage à présenter son budget en équilibre .
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s84,En l' état actuel des informations la commission ne pouvait pas proposer le budget en équilibre .
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s85,"En effet , ce serait admettre , d' une part qu' elle peut le faire sans recette supplémentaire que celles qu' elle connaît ( droits étudiants-subventions de l' Etat ) , sans l' aide contractuelle du ministère , et d' autre part la commission budgétaire n' a pas trouvé les moyens pour le faire ."
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s86,"Le document 5 bis ( 3 ème colonne du document récapitulatif ) a été établi à partir de l' étude minutieuse et détaillée d' un certain nombre de postes que la commission , a passé au crible et le Président rend hommage à la fois aux membres de la commission et aux services financiers qui ont dû recommencer plusieurs fois leurs travaux pour montrer que la gestion de l' Université est sérieuse et permettre ainsi que les arguments présentés soient parfaitement défendables auprès du Ministère ."
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s87,"Pour ramener L' impasse de 19 MF , il fallait que la croissance moyenne des dépenses pour 1984 , par rapport à l' année dernière , soit de l' ordre de 10 à 12 % par poste . La commission n' a pas cherché à appliquer ce taux de croissance uniformément sur tous les postes du compte 63 , mais elle a essayé de faire un certain nombre de choix montrant les priorités à assurer , par exempe :"
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s88,"Le compte 6310 concernant les espaces verts n' a été diminue que de 10.000 F , en effet l' entretien de ces espaces est nécessaire pour conserver un cadre de vie appréciable ,"
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s89,"Le compte 6312 , entretien des constructions , n' a subi que 68.000 F de diminution , certaines réparations sont indispensables dans l' Université"
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s90,"Le compte 6313 , entretien des ascenseurs , est ramené seulement à 200.000 F car la vétusté des installations laisse prévoir des réparations"
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s91,"Pour le compte 633 , petits travaux et fournitures d' enseignements , la commission a estimé qu' il fallait réduire sensiblement les dépenses pour pouvoir assurer les priorités"
17,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s92,"Le compte 532 , travaux exécutés à l' extérieur , a été également examiné avec attention par la commission"
